Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 344, Votes(%): 0.15%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 435, Votes(%): 0.19%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 322, Votes(%): 0.14%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 387, Votes(%): 0.17%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 160, Votes(%): 0.07%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 212, Votes(%): 0.09%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 1409, Votes(%): 0.62%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 185, Votes(%): 0.08%
Year: 2020, Old Region: Northern Region, New Region: Savannah Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 279, Votes(%): 0.12%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 170340, Votes(%): 32.84%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 335502, Votes(%): 64.68%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 879, Votes(%): 0.17%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 2890, Votes(%): 0.56%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 1321, Votes(%): 0.25%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 868, Votes(%): 0.17%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 919, Votes(%): 0.18%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 685, Votes(%): 0.13%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 832, Votes(%): 0.16%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 3100, Votes(%): 0.60%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 359, Votes(%): 0.07%
Year: 2020, Old Region: Upper East Region, New Region: Upper East Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 1017, Votes(%): 0.20%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 121230, Votes(%): 32.80%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 238972, Votes(%): 64.65%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 640, Votes(%): 0.17%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 2794, Votes(%): 0.76%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 1094, Votes(%): 0.30%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 742, Votes(%): 0.20%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 487, Votes(%): 0.13%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 328, Votes(%): 0.09%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 360, Votes(%): 0.10%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 2240, Votes(%): 0.61%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 354, Votes(%): 0.10%
Year: 2020, Old Region: Upper West Region, New Region: Upper West Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 406, Votes(%): 0.11%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 100481, Votes(%): 14.05%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 606508, Votes(%): 84.83%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 705, Votes(%): 0.10%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 220, Votes(%): 0.03%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 442, Votes(%): 0.06%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 237, Votes(%): 0.03%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 406, Votes(%): 0.06%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 314, Votes(%): 0.04%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 180, Votes(%): 0.03%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 4679, Votes(%): 0.65%
Year: 2020, Old Region: Volta Region, New Region: Volta Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 158, Votes(%): 0.02%
